Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Atherina,boyeri,41.25,39.75,1403:219:2,0.31
Atherina,boyeri,41.25,39.25,1403:219:1,0.31
Atherina,boyeri,41.25,38.75,1403:218:2,0.31
Atherina,boyeri,41.25,38.25,1403:218:1,0.31
Atherina,boyeri,41.25,37.75,1403:217:2,0.31
Atherina,boyeri,41.25,37.25,1403:217:1,0.31
Atherina,boyeri,41.75,36.25,1403:216:3,0.31
Atherina,boyeri,41.25,36.75,1403:216:2,0.36
Atherina,boyeri,41.25,36.25,1403:216:1,0.39
Atherina,boyeri,41.75,35.75,1403:215:4,0.30
Atherina,boyeri,41.75,35.25,1403:215:3,0.30
Atherina,boyeri,44.75,34.75,1403:144:4,0.30
Atherina,boyeri,44.75,34.25,1403:144:3,0.29
Atherina,boyeri,44.25,34.25,1403:144:1,0.31
Atherina,boyeri,44.75,33.75,1403:143:4,0.29
Atherina,boyeri,44.75,33.25,1403:143:3,0.30
Atherina,boyeri,44.25,33.75,1403:143:2,0.30
Atherina,boyeri,42.25,34.75,1403:124:2,0.31
Atherina,boyeri,42.25,34.25,1403:124:1,0.30
Atherina,boyeri,42.25,33.75,1403:123:2,0.31
Atherina,boyeri,42.25,33.25,1403:123:1,0.31
Atherina,boyeri,41.75,34.75,1403:114:4,0.34
Atherina,boyeri,41.75,34.25,1403:114:3,0.36
Atherina,boyeri,41.75,33.25,1403:113:3,0.35
Atherina,boyeri,41.75,32.75,1403:112:4,0.34
Atherina,boyeri,41.75,32.25,1403:112:3,0.31
Atherina,boyeri,41.75,31.75,1403:111:4,0.31
Atherina,boyeri,41.25,31.75,1403:111:2,0.37
Atherina,boyeri,41.25,31.25,1403:111:1,0.31
Atherina,boyeri,41.25,30.75,1403:110:2,0.30
Atherina,boyeri,41.25,30.25,1403:110:1,0.30
Atherina,boyeri,43.75,29.75,1402:239:4,0.26
Atherina,boyeri,43.75,28.75,1402:238:4,0.20
Atherina,boyeri,43.25,28.75,1402:238:2,0.25
Atherina,boyeri,43.25,28.25,1402:238:1,0.23
Atherina,boyeri,43.25,27.75,1402:237:2,0.24
Atherina,boyeri,42.75,28.25,1402:228:3,0.25
Atherina,boyeri,42.25,28.25,1402:228:1,0.27
Atherina,boyeri,42.75,27.75,1402:227:4,0.25
Atherina,boyeri,42.25,27.75,1402:227:2,0.25
Atherina,boyeri,41.25,29.75,1402:219:2,0.30
Atherina,boyeri,41.25,29.25,1402:219:1,0.31
Atherina,boyeri,41.75,28.25,1402:218:3,0.27
Atherina,boyeri,41.25,28.75,1402:218:2,0.37
Atherina,boyeri,45.25,12.25,1401:352:1,0.22
Atherina,boyeri,40.25,3.25,1400:103:1,0.25
Atherina,boyeri,40.75,1.25,1400:101:3,0.38
Atherina,boyeri,36.75,35.75,1303:465:4,0.25
Atherina,boyeri,36.75,35.25,1303:465:3,0.25
Atherina,boyeri,36.25,35.75,1303:465:2,0.20
Atherina,boyeri,34.25,35.75,1303:245:2,0.23
Atherina,boyeri,33.75,35.75,1303:235:4,0.31
Atherina,boyeri,33.25,35.25,1303:235:1,0.28
Atherina,boyeri,32.75,35.25,1303:225:3,0.31
Atherina,boyeri,32.75,34.75,1303:124:4,0.34
Atherina,boyeri,31.75,34.75,1303:114:4,0.35
Atherina,boyeri,31.25,34.25,1303:114:1,0.34
Atherina,boyeri,31.25,33.75,1303:113:2,0.37
Atherina,boyeri,31.25,33.25,1303:113:1,0.38
Atherina,boyeri,31.75,32.75,1303:112:4,0.34
Atherina,boyeri,37.25,27.25,1302:477:1,0.24
Atherina,boyeri,37.25,26.75,1302:476:2,0.28
Atherina,boyeri,36.75,26.75,1302:466:4,0.26
Atherina,boyeri,36.25,26.75,1302:466:2,0.37
Atherina,boyeri,35.75,27.25,1302:457:3,0.20
Atherina,boyeri,35.25,27.25,1302:457:1,0.24
Atherina,boyeri,35.25,26.75,1302:456:2,0.38
Atherina,boyeri,34.75,25.25,1302:245:3,0.37
Atherina,boyeri,31.25,29.25,1302:219:1,0.39
Atherina,boyeri,31.75,26.75,1302:216:4,0.28
Atherina,boyeri,31.75,26.25,1302:216:3,0.30
Atherina,boyeri,31.75,25.75,1302:215:4,0.35
Atherina,boyeri,31.75,25.25,1302:215:3,0.39
Atherina,boyeri,30.75,29.25,1302:209:3,0.34
Atherina,boyeri,36.25,10.25,1301:360:1,0.20
Atherina,boyeri,34.75,12.75,1301:142:4,0.37
Atherina,boyeri,33.25,13.25,1301:133:1,0.33
Atherina,boyeri,50.25,-6.25,7500:206:1,0.40
Atherina,boyeri,50.75,-5.25,7500:205:3,0.41
Atherina,boyeri,50.25,-4.75,7500:104:2,0.41
Atherina,boyeri,49.25,-10.75,7401:390:2,0.44
Atherina,boyeri,49.75,-6.25,7400:496:3,0.49
Atherina,boyeri,49.75,-5.25,7400:495:3,0.50
Atherina,boyeri,48.75,-5.25,7400:485:3,0.52
Atherina,boyeri,49.25,-3.75,7400:393:2,0.53
Atherina,boyeri,49.25,-3.25,7400:393:1,0.55
Atherina,boyeri,49.75,-2.75,7400:392:4,0.43
Atherina,boyeri,49.75,-2.25,7400:392:3,0.43
Atherina,boyeri,49.25,-2.75,7400:392:2,0.52
Atherina,boyeri,49.25,-2.25,7400:392:1,0.53
Atherina,boyeri,49.75,-1.75,7400:391:4,0.43
Atherina,boyeri,49.75,-1.25,7400:391:3,0.43
Atherina,boyeri,49.25,-1.75,7400:391:2,0.53
Atherina,boyeri,49.25,-1.25,7400:391:1,0.51
Atherina,boyeri,49.75,-0.75,7400:390:4,0.42
Atherina,boyeri,49.75,-0.25,7400:390:3,0.42
Atherina,boyeri,49.25,-0.75,7400:390:2,0.49
Atherina,boyeri,49.25,-0.25,7400:390:1,0.47
Atherina,boyeri,48.75,-4.75,7400:384:4,0.40
Atherina,boyeri,48.75,-4.25,7400:384:3,0.41
Atherina,boyeri,48.25,-4.75,7400:384:2,0.55
Atherina,boyeri,48.25,-4.25,7400:384:1,0.57
Atherina,boyeri,48.75,-3.75,7400:383:4,0.48
Atherina,boyeri,48.75,-3.25,7400:383:3,0.55
Atherina,boyeri,48.75,-2.75,7400:382:4,0.56
Atherina,boyeri,48.75,-2.25,7400:382:3,0.57
Atherina,boyeri,47.75,-2.25,7400:372:3,0.44
Atherina,boyeri,44.75,-2.25,7400:142:3,0.42
Atherina,boyeri,31.25,-10.25,7301:110:1,0.58
Atherina,boyeri,30.75,-10.25,7301:100:3,0.42
Atherina,boyeri,32.25,-9.75,7300:229:2,0.54
Atherina,boyeri,23.75,-16.75,7201:236:4,0.46
Atherina,boyeri,22.75,-16.75,7201:226:4,0.56
Atherina,boyeri,22.25,-16.75,7201:226:2,0.41
Atherina,boyeri,20.75,-16.25,7201:206:3,0.46
Atherina,boyeri,40.75,40.25,1404:100:3,0.41
Atherina,boyeri,40.75,38.75,1403:208:4,0.45
Atherina,boyeri,40.75,38.25,1403:208:3,0.45
Atherina,boyeri,41.25,28.25,1402:218:1,0.41
Atherina,boyeri,41.25,27.75,1402:217:2,0.48
Atherina,boyeri,40.75,29.75,1402:209:4,0.42
Atherina,boyeri,40.75,29.25,1402:209:3,0.57
Atherina,boyeri,40.75,28.75,1402:208:4,0.46
Atherina,boyeri,40.75,28.25,1402:208:3,0.54
Atherina,boyeri,40.75,19.75,1401:209:4,0.40
Atherina,boyeri,44.75,12.75,1401:142:4,0.43
Atherina,boyeri,43.75,14.25,1401:134:3,0.46
Atherina,boyeri,42.25,12.25,1401:122:1,0.40
Atherina,boyeri,49.75,1.25,1400:391:3,0.47
Atherina,boyeri,49.75,0.75,1400:390:4,0.44
Atherina,boyeri,49.75,0.25,1400:390:3,0.41
Atherina,boyeri,49.25,0.25,1400:390:1,0.52
Atherina,boyeri,36.75,34.25,1303:364:3,0.54
Atherina,boyeri,34.75,36.25,1303:246:3,0.49
Atherina,boyeri,32.25,34.75,1303:124:2,0.42
Atherina,boyeri,31.75,34.25,1303:114:3,0.41
Atherina,boyeri,31.75,32.25,1303:112:3,0.49
Atherina,boyeri,31.25,32.75,1303:112:2,0.40
Atherina,boyeri,31.25,32.25,1303:112:1,0.47
Atherina,boyeri,31.75,31.75,1303:111:4,0.51
Atherina,boyeri,31.75,31.25,1303:111:3,0.53
Atherina,boyeri,31.25,31.75,1303:111:2,0.50
Atherina,boyeri,31.75,30.75,1303:110:4,0.54
Atherina,boyeri,31.75,30.25,1303:110:3,0.55
Atherina,boyeri,31.25,30.75,1303:110:2,0.54
Atherina,boyeri,31.25,30.25,1303:110:1,0.55
Atherina,boyeri,37.25,26.25,1302:476:1,0.47
Atherina,boyeri,36.75,29.25,1302:469:3,0.52
Atherina,boyeri,36.75,26.25,1302:466:3,0.48
Atherina,boyeri,36.25,26.25,1302:466:1,0.59
Atherina,boyeri,34.75,26.25,1302:246:3,0.42
Atherina,boyeri,32.25,25.25,1302:225:1,0.40
Atherina,boyeri,31.25,29.75,1302:219:2,0.56
Atherina,boyeri,31.25,28.75,1302:218:2,0.48
Atherina,boyeri,30.75,28.75,1302:208:4,0.46
Atherina,boyeri,34.75,24.75,1302:144:4,0.42
Atherina,boyeri,34.75,24.25,1302:144:3,0.51
Atherina,boyeri,32.25,24.75,1302:124:2,0.50
Atherina,boyeri,32.25,24.25,1302:124:1,0.59
Atherina,boyeri,37.25,12.75,1301:372:2,0.40
Atherina,boyeri,31.25,18.25,1301:218:1,0.54
Atherina,boyeri,34.25,11.75,1301:141:2,0.53
Atherina,boyeri,33.75,12.25,1301:132:3,0.43
Atherina,boyeri,49.75,-10.25,7401:390:3,0.64
Atherina,boyeri,49.25,-10.25,7401:390:1,0.73
Atherina,boyeri,49.75,-9.25,7400:499:3,0.60
Atherina,boyeri,49.25,-8.75,7400:498:2,0.74
Atherina,boyeri,48.25,-6.75,7400:486:2,0.72
Atherina,boyeri,48.25,-5.25,7400:485:1,0.61
Atherina,boyeri,48.75,-1.75,7400:381:4,0.61
Atherina,boyeri,48.75,-1.25,7400:381:3,0.60
Atherina,boyeri,47.25,-2.25,7400:372:1,0.62
Atherina,boyeri,46.25,-2.25,7400:362:1,0.79
Atherina,boyeri,45.75,-1.75,7400:351:4,0.79
Atherina,boyeri,42.75,-8.75,7400:228:4,0.60
Atherina,boyeri,33.25,-16.25,7301:236:1,0.66
Atherina,boyeri,32.75,-17.25,7301:227:3,0.68
Atherina,boyeri,32.75,-16.75,7301:226:4,0.67
Atherina,boyeri,32.75,-16.25,7301:226:3,0.66
Atherina,boyeri,30.25,-15.75,7301:205:2,0.70
Atherina,boyeri,28.75,-17.75,7201:487:4,0.61
Atherina,boyeri,28.25,-17.75,7201:487:2,0.63
Atherina,boyeri,28.25,-17.25,7201:487:1,0.63
Atherina,boyeri,28.75,-16.25,7201:486:3,0.63
Atherina,boyeri,28.25,-16.75,7201:486:2,0.65
Atherina,boyeri,28.25,-16.25,7201:486:1,0.68
Atherina,boyeri,28.25,-15.75,7201:485:2,0.68
Atherina,boyeri,28.25,-15.25,7201:485:1,0.70
Atherina,boyeri,27.75,-17.75,7201:477:4,0.61
Atherina,boyeri,27.75,-15.75,7201:475:4,0.73
Atherina,boyeri,29.25,-13.75,7201:393:2,0.77
Atherina,boyeri,28.75,-14.25,7201:384:3,0.72
Atherina,boyeri,28.25,-14.75,7201:384:2,0.70
Atherina,boyeri,28.75,-13.25,7201:383:3,0.79
Atherina,boyeri,28.75,-12.75,7201:382:4,0.71
Atherina,boyeri,22.75,-17.25,7201:227:3,0.75
Atherina,boyeri,40.25,29.25,1402:209:1,0.63
Atherina,boyeri,40.25,28.75,1402:208:2,0.68
Atherina,boyeri,40.25,28.25,1402:208:1,0.74
Atherina,boyeri,40.75,27.75,1402:207:4,0.62
Atherina,boyeri,40.75,27.25,1402:207:3,0.67
Atherina,boyeri,40.75,26.75,1402:206:4,0.75
Atherina,boyeri,45.75,12.75,1401:352:4,0.74
Atherina,boyeri,45.25,12.75,1401:352:2,0.76
Atherina,boyeri,44.25,12.25,1401:142:1,0.74
Atherina,boyeri,42.25,10.25,1401:120:1,0.79
Atherina,boyeri,36.75,36.25,1303:466:3,0.66
Atherina,boyeri,36.25,36.25,1303:466:1,0.61
Atherina,boyeri,36.75,32.25,1303:362:3,0.62
Atherina,boyeri,36.75,31.75,1303:361:4,0.60
Atherina,boyeri,37.25,27.75,1302:477:2,0.71
Atherina,boyeri,37.75,26.75,1302:476:4,0.62
Atherina,boyeri,37.75,26.25,1302:476:3,0.75
Atherina,boyeri,35.75,26.25,1302:456:3,0.65
Atherina,boyeri,35.25,26.25,1302:456:1,0.65
Atherina,boyeri,35.25,25.75,1302:455:2,0.73
Atherina,boyeri,35.25,25.25,1302:455:1,0.79
Atherina,boyeri,35.25,24.25,1302:354:1,0.75
Atherina,boyeri,35.25,23.75,1302:353:2,0.76
Atherina,boyeri,31.25,28.25,1302:218:1,0.62
Atherina,boyeri,31.25,27.75,1302:217:2,0.62
Atherina,boyeri,31.25,27.25,1302:217:1,0.63
Atherina,boyeri,31.25,26.75,1302:216:2,0.63
Atherina,boyeri,32.75,23.25,1302:123:3,0.74
Atherina,boyeri,32.25,23.75,1302:123:2,0.65
Atherina,boyeri,32.25,23.25,1302:123:1,0.70
Atherina,boyeri,32.75,22.75,1302:122:4,0.79
Atherina,boyeri,32.75,21.75,1302:121:4,0.78
Atherina,boyeri,32.75,21.25,1302:121:3,0.76
Atherina,boyeri,32.75,20.75,1302:120:4,0.74
Atherina,boyeri,32.75,20.25,1302:120:3,0.74
Atherina,boyeri,32.25,20.25,1302:120:1,0.74
Atherina,boyeri,31.75,20.25,1302:110:3,0.74
Atherina,boyeri,31.25,20.25,1302:110:1,0.72
Atherina,boyeri,30.75,20.25,1302:100:3,0.68
Atherina,boyeri,32.25,19.75,1301:229:2,0.75
Atherina,boyeri,32.25,15.75,1301:225:2,0.68
Atherina,boyeri,32.25,15.25,1301:225:1,0.70
Atherina,boyeri,31.75,19.75,1301:219:4,0.76
Atherina,boyeri,31.25,19.75,1301:219:2,0.74
Atherina,boyeri,31.25,17.75,1301:217:2,0.66
