Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Dicentrarchus,labrax,56.75,21.25,1502:361:3,0.10
Dicentrarchus,labrax,56.25,21.25,1502:361:1,0.10
Dicentrarchus,labrax,56.75,20.75,1502:360:4,0.11
Dicentrarchus,labrax,56.75,20.25,1502:360:3,0.08
Dicentrarchus,labrax,56.25,20.75,1502:360:2,0.11
Dicentrarchus,labrax,56.25,20.25,1502:360:1,0.12
Dicentrarchus,labrax,55.75,21.25,1502:351:3,0.10
Dicentrarchus,labrax,55.25,21.25,1502:351:1,0.12
Dicentrarchus,labrax,55.75,20.75,1502:350:4,0.12
Dicentrarchus,labrax,55.75,20.25,1502:350:3,0.12
Dicentrarchus,labrax,55.25,20.75,1502:350:2,0.12
Dicentrarchus,labrax,55.25,20.25,1502:350:1,0.12
Dicentrarchus,labrax,54.75,21.25,1502:141:3,0.12
Dicentrarchus,labrax,54.75,20.75,1502:140:4,0.12
Dicentrarchus,labrax,54.75,20.25,1502:140:3,0.12
Dicentrarchus,labrax,59.75,19.75,1501:499:4,0.05
Dicentrarchus,labrax,59.75,19.25,1501:499:3,0.05
Dicentrarchus,labrax,59.25,19.75,1501:499:2,0.07
Dicentrarchus,labrax,59.25,19.25,1501:499:1,0.07
Dicentrarchus,labrax,59.25,18.75,1501:498:2,0.06
Dicentrarchus,labrax,59.25,18.25,1501:498:1,0.04
Dicentrarchus,labrax,58.75,19.75,1501:489:4,0.07
Dicentrarchus,labrax,58.75,19.25,1501:489:3,0.07
Dicentrarchus,labrax,58.25,19.75,1501:489:2,0.07
Dicentrarchus,labrax,58.25,19.25,1501:489:1,0.07
Dicentrarchus,labrax,58.75,18.75,1501:488:4,0.08
Dicentrarchus,labrax,58.75,18.25,1501:488:3,0.08
Dicentrarchus,labrax,58.25,18.75,1501:488:2,0.07
Dicentrarchus,labrax,58.25,18.25,1501:488:1,0.07
Dicentrarchus,labrax,58.75,17.75,1501:487:4,0.08
Dicentrarchus,labrax,58.75,17.25,1501:487:3,0.08
Dicentrarchus,labrax,58.25,17.75,1501:487:2,0.08
Dicentrarchus,labrax,58.25,17.25,1501:487:1,0.09
Dicentrarchus,labrax,58.25,16.75,1501:486:2,0.05
Dicentrarchus,labrax,57.75,19.75,1501:479:4,0.06
Dicentrarchus,labrax,57.75,19.25,1501:479:3,0.06
Dicentrarchus,labrax,57.25,19.75,1501:479:2,0.06
Dicentrarchus,labrax,57.25,19.25,1501:479:1,0.05
Dicentrarchus,labrax,57.75,18.75,1501:478:4,0.07
Dicentrarchus,labrax,57.75,18.25,1501:478:3,0.07
Dicentrarchus,labrax,57.25,18.75,1501:478:2,0.06
Dicentrarchus,labrax,57.25,18.25,1501:478:1,0.08
Dicentrarchus,labrax,57.75,17.75,1501:477:4,0.08
Dicentrarchus,labrax,57.75,17.25,1501:477:3,0.09
Dicentrarchus,labrax,57.25,17.75,1501:477:2,0.09
Dicentrarchus,labrax,57.25,17.25,1501:477:1,0.10
Dicentrarchus,labrax,57.75,16.75,1501:476:4,0.09
Dicentrarchus,labrax,57.25,16.75,1501:476:2,0.10
Dicentrarchus,labrax,56.25,19.75,1501:469:2,0.11
Dicentrarchus,labrax,56.25,19.25,1501:469:1,0.08
Dicentrarchus,labrax,56.75,18.75,1501:468:4,0.07
Dicentrarchus,labrax,56.75,18.25,1501:468:3,0.09
Dicentrarchus,labrax,56.25,18.75,1501:468:2,0.08
Dicentrarchus,labrax,56.25,18.25,1501:468:1,0.08
Dicentrarchus,labrax,56.75,17.75,1501:467:4,0.08
Dicentrarchus,labrax,56.75,17.25,1501:467:3,0.08
Dicentrarchus,labrax,56.25,17.75,1501:467:2,0.08
Dicentrarchus,labrax,56.25,17.25,1501:467:1,0.09
Dicentrarchus,labrax,56.75,16.75,1501:466:4,0.10
Dicentrarchus,labrax,56.75,16.25,1501:466:3,0.10
Dicentrarchus,labrax,56.25,16.75,1501:466:2,0.08
Dicentrarchus,labrax,56.25,16.25,1501:466:1,0.11
Dicentrarchus,labrax,56.25,15.75,1501:465:2,0.11
Dicentrarchus,labrax,56.25,15.25,1501:465:1,0.13
Dicentrarchus,labrax,55.75,19.75,1501:459:4,0.11
Dicentrarchus,labrax,55.75,19.25,1501:459:3,0.11
Dicentrarchus,labrax,55.25,19.75,1501:459:2,0.12
Dicentrarchus,labrax,55.25,19.25,1501:459:1,0.07
Dicentrarchus,labrax,55.75,18.75,1501:458:4,0.04
Dicentrarchus,labrax,55.75,18.25,1501:458:3,0.09
Dicentrarchus,labrax,55.25,18.75,1501:458:2,0.13
Dicentrarchus,labrax,55.25,18.25,1501:458:1,0.12
Dicentrarchus,labrax,55.75,17.75,1501:457:4,0.09
Dicentrarchus,labrax,55.75,17.25,1501:457:3,0.10
Dicentrarchus,labrax,55.25,17.75,1501:457:2,0.12
Dicentrarchus,labrax,55.25,17.25,1501:457:1,0.12
Dicentrarchus,labrax,55.75,16.75,1501:456:4,0.10
Dicentrarchus,labrax,55.75,16.25,1501:456:3,0.09
Dicentrarchus,labrax,55.25,16.75,1501:456:2,0.12
Dicentrarchus,labrax,55.25,16.25,1501:456:1,0.10
Dicentrarchus,labrax,55.75,15.75,1501:455:4,0.10
Dicentrarchus,labrax,55.75,15.25,1501:455:3,0.11
Dicentrarchus,labrax,55.25,15.75,1501:455:2,0.04
Dicentrarchus,labrax,55.25,15.25,1501:455:1,0.07
Dicentrarchus,labrax,56.25,14.75,1501:364:2,0.18
Dicentrarchus,labrax,55.75,14.75,1501:354:4,0.12
Dicentrarchus,labrax,55.75,14.25,1501:354:3,0.12
Dicentrarchus,labrax,55.25,14.75,1501:354:2,0.09
Dicentrarchus,labrax,55.25,14.25,1501:354:1,0.11
Dicentrarchus,labrax,55.25,13.75,1501:353:2,0.09
Dicentrarchus,labrax,55.25,13.25,1501:353:1,0.12
Dicentrarchus,labrax,55.25,12.75,1501:352:2,0.14
Dicentrarchus,labrax,54.75,19.75,1501:249:4,0.12
Dicentrarchus,labrax,54.75,19.25,1501:249:3,0.10
Dicentrarchus,labrax,54.25,19.75,1501:249:2,0.13
Dicentrarchus,labrax,54.25,19.25,1501:249:1,0.11
Dicentrarchus,labrax,54.75,18.75,1501:248:4,0.12
Dicentrarchus,labrax,54.75,18.25,1501:248:3,0.12
Dicentrarchus,labrax,54.25,18.75,1501:248:2,0.13
Dicentrarchus,labrax,54.75,17.75,1501:247:4,0.13
Dicentrarchus,labrax,54.75,17.25,1501:247:3,0.13
Dicentrarchus,labrax,54.75,16.75,1501:246:4,0.13
Dicentrarchus,labrax,54.75,16.25,1501:246:3,0.13
Dicentrarchus,labrax,54.25,16.25,1501:246:1,0.14
Dicentrarchus,labrax,54.75,15.75,1501:245:4,0.09
Dicentrarchus,labrax,54.75,15.25,1501:245:3,0.09
Dicentrarchus,labrax,54.25,15.75,1501:245:2,0.13
Dicentrarchus,labrax,54.25,15.25,1501:245:1,0.13
Dicentrarchus,labrax,54.75,14.75,1501:144:4,0.11
Dicentrarchus,labrax,54.75,14.25,1501:144:3,0.13
Dicentrarchus,labrax,54.25,14.75,1501:144:2,0.13
Dicentrarchus,labrax,54.25,14.25,1501:144:1,0.13
Dicentrarchus,labrax,54.75,13.75,1501:143:4,0.14
Dicentrarchus,labrax,54.75,13.25,1501:143:3,0.14
Dicentrarchus,labrax,54.25,13.75,1501:143:2,0.13
Dicentrarchus,labrax,54.25,13.25,1501:143:1,0.14
Dicentrarchus,labrax,54.75,12.75,1501:142:4,0.15
Dicentrarchus,labrax,54.75,12.25,1501:142:3,0.16
Dicentrarchus,labrax,54.25,12.75,1501:142:2,0.16
Dicentrarchus,labrax,54.25,12.25,1501:142:1,0.18
Dicentrarchus,labrax,53.75,14.75,1501:134:4,0.15
Dicentrarchus,labrax,53.75,14.25,1501:134:3,0.12
Dicentrarchus,labrax,53.75,13.75,1501:133:4,0.16
Dicentrarchus,labrax,59.75,1.75,1500:391:4,0.07
Dicentrarchus,labrax,59.25,1.25,1500:391:1,0.02
Dicentrarchus,labrax,58.75,3.25,1500:383:3,0.13
Dicentrarchus,labrax,58.75,1.75,1500:381:4,0.09
Dicentrarchus,labrax,54.25,9.25,1500:249:1,0.15
Dicentrarchus,labrax,42.25,41.25,1404:121:1,0.01
Dicentrarchus,labrax,41.75,31.25,1403:111:3,0.07
Dicentrarchus,labrax,45.25,29.75,1402:459:2,0.06
Dicentrarchus,labrax,44.75,29.75,1402:249:4,0.07
Dicentrarchus,labrax,44.75,29.25,1402:249:3,0.04
