Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sarda,sarda,61.75,-0.75,7600:110:4,0.31
Sarda,sarda,61.75,-0.25,7600:110:3,0.29
Sarda,sarda,50.25,-63.25,7506:103:1,0.20
Sarda,sarda,50.25,-62.75,7506:102:2,0.22
Sarda,sarda,50.25,-62.25,7506:102:1,0.21
Sarda,sarda,50.25,-61.75,7506:101:2,0.21
Sarda,sarda,50.25,-61.25,7506:101:1,0.20
Sarda,sarda,50.25,-60.75,7506:100:2,0.21
Sarda,sarda,50.25,-60.25,7506:100:1,0.21
Sarda,sarda,50.25,-59.75,7505:209:2,0.20
Sarda,sarda,50.25,-59.25,7505:209:1,0.21
Sarda,sarda,50.25,-58.75,7505:208:2,0.22
Sarda,sarda,50.25,-58.25,7505:208:1,0.23
Sarda,sarda,50.25,-57.75,7505:207:2,0.23
Sarda,sarda,53.75,-13.75,7501:133:4,0.30
Sarda,sarda,52.25,-6.75,7500:226:2,0.36
Sarda,sarda,54.75,-4.75,7500:144:4,0.39
Sarda,sarda,51.25,-2.75,7500:112:2,0.38
Sarda,sarda,50.25,-4.25,7500:104:1,0.24
Sarda,sarda,47.75,-65.75,7406:475:4,0.25
Sarda,sarda,47.25,-65.25,7406:475:1,0.28
Sarda,sarda,49.25,-63.75,7406:393:2,0.22
Sarda,sarda,49.25,-63.25,7406:393:1,0.25
Sarda,sarda,49.75,-62.25,7406:392:3,0.22
Sarda,sarda,49.25,-62.75,7406:392:2,0.23
Sarda,sarda,49.25,-62.25,7406:392:1,0.25
Sarda,sarda,49.75,-61.75,7406:391:4,0.24
Sarda,sarda,49.75,-61.25,7406:391:3,0.25
Sarda,sarda,49.25,-61.75,7406:391:2,0.26
Sarda,sarda,49.25,-61.25,7406:391:1,0.27
Sarda,sarda,49.75,-60.75,7406:390:4,0.25
Sarda,sarda,49.75,-60.25,7406:390:3,0.25
Sarda,sarda,49.25,-60.75,7406:390:2,0.28
Sarda,sarda,49.25,-60.25,7406:390:1,0.29
Sarda,sarda,48.25,-64.75,7406:384:2,0.26
Sarda,sarda,48.25,-64.25,7406:384:1,0.24
Sarda,sarda,48.75,-63.75,7406:383:4,0.22
Sarda,sarda,48.75,-63.25,7406:383:3,0.27
Sarda,sarda,48.25,-63.75,7406:383:2,0.24
Sarda,sarda,48.25,-63.25,7406:383:1,0.27
Sarda,sarda,48.75,-62.25,7406:382:3,0.30
Sarda,sarda,48.25,-62.75,7406:382:2,0.29
Sarda,sarda,48.25,-62.25,7406:382:1,0.30
