Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lophius,budegassa,32.25,-16.25,7301:226:1,0.50
Lophius,budegassa,30.25,-16.25,7301:206:1,0.51
Lophius,budegassa,30.25,-15.75,7301:205:2,0.51
Lophius,budegassa,34.75,-14.25,7301:144:3,0.42
Lophius,budegassa,33.75,-14.25,7301:134:3,0.50
Lophius,budegassa,31.25,-13.75,7301:113:2,0.51
Lophius,budegassa,31.25,-12.75,7301:112:2,0.59
Lophius,budegassa,30.75,-13.25,7301:103:3,0.54
Lophius,budegassa,30.25,-13.25,7301:103:1,0.53
Lophius,budegassa,30.75,-12.75,7301:102:4,0.56
Lophius,budegassa,30.25,-12.75,7301:102:2,0.55
Lophius,budegassa,30.25,-12.25,7301:102:1,0.59
Lophius,budegassa,37.25,-0.75,7300:370:2,0.45
Lophius,budegassa,34.75,-7.25,7300:247:3,0.43
Lophius,budegassa,28.75,-17.75,7201:487:4,0.50
Lophius,budegassa,28.25,-17.75,7201:487:2,0.52
Lophius,budegassa,28.25,-17.25,7201:487:1,0.52
Lophius,budegassa,28.75,-16.25,7201:486:3,0.50
Lophius,budegassa,28.25,-16.75,7201:486:2,0.52
Lophius,budegassa,28.25,-16.25,7201:486:1,0.54
Lophius,budegassa,28.25,-15.75,7201:485:2,0.52
Lophius,budegassa,28.25,-15.25,7201:485:1,0.53
Lophius,budegassa,27.75,-17.75,7201:477:4,0.52
Lophius,budegassa,27.75,-15.75,7201:475:4,0.57
Lophius,budegassa,26.25,-15.75,7201:465:2,0.41
Lophius,budegassa,29.75,-13.25,7201:393:3,0.56
Lophius,budegassa,29.75,-12.75,7201:392:4,0.58
Lophius,budegassa,28.75,-14.25,7201:384:3,0.54
Lophius,budegassa,27.75,-14.25,7201:374:3,0.54
Lophius,budegassa,27.75,-12.75,7201:372:4,0.50
Lophius,budegassa,24.25,-15.75,7201:245:2,0.59
Lophius,budegassa,24.25,-15.25,7201:245:1,0.48
Lophius,budegassa,22.75,-16.75,7201:226:4,0.48
Lophius,budegassa,21.75,-17.75,7201:217:4,0.52
Lophius,budegassa,20.25,-16.25,7201:206:1,0.49
