Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Syngnathus,typhle,54.75,7.75,1500:247:4,0.33
Syngnathus,typhle,52.25,5.75,1500:225:2,0.38
Syngnathus,typhle,52.25,5.25,1500:225:1,0.23
Syngnathus,typhle,54.75,2.75,1500:142:4,0.33
Syngnathus,typhle,54.75,2.25,1500:142:3,0.22
Syngnathus,typhle,54.75,1.75,1500:141:4,0.22
Syngnathus,typhle,54.25,0.25,1500:140:1,0.22
Syngnathus,typhle,52.75,4.25,1500:124:3,0.25
Syngnathus,typhle,52.25,4.75,1500:124:2,0.25
Syngnathus,typhle,52.25,2.25,1500:122:1,0.22
Syngnathus,typhle,51.75,4.75,1500:114:4,0.26
Syngnathus,typhle,51.75,4.25,1500:114:3,0.22
Syngnathus,typhle,51.75,3.75,1500:113:4,0.38
Syngnathus,typhle,45.25,30.25,1403:350:1,0.35
Syngnathus,typhle,40.25,17.75,1401:207:2,0.37
Syngnathus,typhle,43.25,4.75,1400:134:2,0.22
Syngnathus,typhle,36.75,34.25,1303:364:3,0.37
Syngnathus,typhle,32.75,35.25,1303:225:3,0.21
Syngnathus,typhle,32.75,34.75,1303:124:4,0.20
Syngnathus,typhle,32.25,34.75,1303:124:2,0.29
Syngnathus,typhle,31.75,34.75,1303:114:4,0.28
Syngnathus,typhle,31.75,30.25,1303:110:3,0.31
Syngnathus,typhle,31.25,30.75,1303:110:2,0.33
Syngnathus,typhle,31.25,30.25,1303:110:1,0.32
Syngnathus,typhle,38.25,26.75,1302:486:2,0.36
Syngnathus,typhle,37.75,27.25,1302:477:3,0.39
Syngnathus,typhle,37.25,27.75,1302:477:2,0.25
Syngnathus,typhle,37.75,26.75,1302:476:4,0.23
Syngnathus,typhle,37.75,26.25,1302:476:3,0.29
Syngnathus,typhle,37.25,25.75,1302:475:2,0.34
Syngnathus,typhle,36.75,29.25,1302:469:3,0.22
Syngnathus,typhle,36.75,25.75,1302:465:4,0.27
Syngnathus,typhle,36.25,25.75,1302:465:2,0.25
Syngnathus,typhle,36.25,25.25,1302:465:1,0.38
Syngnathus,typhle,35.25,25.75,1302:455:2,0.21
Syngnathus,typhle,35.25,25.25,1302:455:1,0.23
Syngnathus,typhle,38.25,20.25,1302:380:1,0.36
Syngnathus,typhle,35.25,24.75,1302:354:2,0.25
Syngnathus,typhle,35.25,24.25,1302:354:1,0.22
Syngnathus,typhle,35.25,23.75,1302:353:2,0.22
Syngnathus,typhle,31.25,29.75,1302:219:2,0.36
Syngnathus,typhle,31.25,28.25,1302:218:1,0.25
Syngnathus,typhle,31.25,27.75,1302:217:2,0.29
Syngnathus,typhle,31.25,27.25,1302:217:1,0.28
Syngnathus,typhle,31.25,26.75,1302:216:2,0.28
Syngnathus,typhle,30.75,28.75,1302:208:4,0.23
Syngnathus,typhle,32.75,23.25,1302:123:3,0.24
Syngnathus,typhle,32.25,23.75,1302:123:2,0.21
Syngnathus,typhle,32.25,23.25,1302:123:1,0.23
Syngnathus,typhle,32.75,22.75,1302:122:4,0.26
Syngnathus,typhle,32.75,22.25,1302:122:3,0.28
Syngnathus,typhle,32.75,21.75,1302:121:4,0.31
Syngnathus,typhle,32.75,21.25,1302:121:3,0.33
Syngnathus,typhle,32.75,20.75,1302:120:4,0.34
Syngnathus,typhle,32.75,20.25,1302:120:3,0.34
Syngnathus,typhle,31.25,19.75,1301:219:2,0.30
Syngnathus,typhle,61.75,-7.25,7600:217:3,0.55
Syngnathus,typhle,56.75,-8.75,7500:468:4,0.44
Syngnathus,typhle,56.25,-4.75,7500:364:2,0.50
Syngnathus,typhle,56.25,-3.75,7500:363:2,0.43
Syngnathus,typhle,54.25,-0.75,7500:140:2,0.44
Syngnathus,typhle,51.25,-3.25,7500:113:1,0.55
Syngnathus,typhle,49.75,-0.25,7400:390:3,0.56
Syngnathus,typhle,47.75,-2.25,7400:372:3,0.51
Syngnathus,typhle,41.25,-8.75,7400:218:2,0.49
Syngnathus,typhle,70.25,26.75,1702:206:2,0.57
Syngnathus,typhle,68.25,40.25,1604:380:1,0.48
Syngnathus,typhle,68.25,39.75,1603:489:2,0.52
Syngnathus,typhle,68.25,39.25,1603:489:1,0.55
Syngnathus,typhle,68.25,38.75,1603:488:2,0.57
Syngnathus,typhle,68.25,38.25,1603:488:1,0.57
Syngnathus,typhle,68.75,36.75,1603:486:4,0.55
Syngnathus,typhle,62.75,17.75,1601:227:4,0.51
