"SP","Format","Param","Method","Estimate","Sd_2.5","Sd_97.5","Migr"
"Cgale","Mu_Fa","Tam","Random forest",692106.767,561929.885057471,852894.074074074,"Beta"
"Cgale","Mu_Fa","M12","Neural network",7.26563542651335,5.9931144978307,8.52207115031449,"Beta"
"Cgale","Mu_Fa","M12","Random forest",7.17931678233333,5.38718298538622,9.09906666666667,"Beta"
"Cgale","Mu_Fa","M21","Neural network",2.7734079165006,2.22627236916334,3.30830532929352,"Beta"
"Cgale","Mu_Fa","M21","Random forest",2.778932437,1.9904397139714,3.50584206779661,"Beta"
"Cgale","Li_Ga","N1","Neural network",470236.934517726,445065.91503138,496812.245480717,"Beta"
"Cgale","Li_Ga","N1","Random forest",424817.69575,357664,496143.947368421,"Beta"
"Cgale","Li_Ga","N2","Neural network",389498.599903173,368474.134361547,410424.072245547,"Beta"
"Cgale","Li_Ga","N2","Random forest",333730.1115,279145.694444444,393182.5,"Beta"
"Cgale","Li_Ga","Na","Neural network",342317.261358246,308743.513195933,373987.375082615,"Beta"
"Cgale","Li_Ga","Na","Random forest",335303.318583333,266751.764705882,394969.833333333,"Beta"
"Cgale","Li_Ga","shape_N_a","Neural network",0.114102401008004,0.105500825808264,0.120238717942267,"Beta"
"Cgale","Li_Ga","shape_N_a","Random forest",0.0999916826666667,0.0783365,0.119839047619048,"Beta"
"Cgale","Li_Ga","shape_N_b","Neural network",0.013103809258218,0.011770508600297,0.015311750002652,"Beta"
"Cgale","Li_Ga","shape_N_b","Random forest",0.0164284375,0.0126045701357466,0.02096,"Beta"
"Cgale","Li_Ga","Tsplit","Neural network",851740.402459432,629035.988690223,1201609.85073437,"Beta"
"Cgale","Li_Ga","Tsplit","Random forest",977559.163666667,816798.333333333,1132774.02912621,"Beta"
"Cgale","Li_Ga","Tam","Neural network",810965.440452278,754182.357043747,852194.947553429,"Beta"
"Cgale","Li_Ga","Tam","Random forest",859773.411,715397.333333333,989588.52631579,"Beta"
