Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Alosa,fallax,35.25,34.25,1303:354:1,0.05
Alosa,fallax,35.75,33.75,1303:353:4,0.01
Alosa,fallax,35.25,33.75,1303:353:2,0.06
Alosa,fallax,35.25,33.25,1303:353:1,0.06
Alosa,fallax,35.75,32.75,1303:352:4,0.05
Alosa,fallax,35.25,32.75,1303:352:2,0.06
Alosa,fallax,35.25,32.25,1303:352:1,0.06
Alosa,fallax,34.75,36.25,1303:246:3,0.06
Alosa,fallax,34.75,35.75,1303:245:4,0.02
Alosa,fallax,34.25,35.75,1303:245:2,0.01
Alosa,fallax,34.75,34.25,1303:144:3,0.05
Alosa,fallax,34.75,33.75,1303:143:4,0.07
Alosa,fallax,34.75,33.25,1303:143:3,0.08
Alosa,fallax,34.75,32.75,1303:142:4,0.07
Alosa,fallax,34.75,32.25,1303:142:3,0.06
Alosa,fallax,33.25,34.75,1303:134:2,0.01
Alosa,fallax,32.25,32.25,1303:122:1,0.03
Alosa,fallax,32.25,31.75,1303:121:2,0.04
Alosa,fallax,32.25,31.25,1303:121:1,0.05
Alosa,fallax,32.25,30.75,1303:120:2,0.06
Alosa,fallax,32.25,30.25,1303:120:1,0.06
Alosa,fallax,31.75,33.25,1303:113:3,0.01
Alosa,fallax,31.75,32.75,1303:112:4,0.02
Alosa,fallax,31.75,32.25,1303:112:3,0.05
Alosa,fallax,31.25,32.25,1303:112:1,0.03
Alosa,fallax,31.75,31.75,1303:111:4,0.09
Alosa,fallax,31.75,31.25,1303:111:3,0.10
Alosa,fallax,31.25,31.75,1303:111:2,0.01
Alosa,fallax,31.75,30.75,1303:110:4,0.09
Alosa,fallax,31.75,30.25,1303:110:3,0.08
Alosa,fallax,31.25,30.75,1303:110:2,0.01
Alosa,fallax,31.25,30.25,1303:110:1,0.08
Alosa,fallax,36.75,29.25,1302:469:3,0.15
Alosa,fallax,36.25,29.75,1302:469:2,0.07
Alosa,fallax,36.25,29.25,1302:469:1,0.09
Alosa,fallax,36.75,28.75,1302:468:4,0.10
Alosa,fallax,36.75,28.25,1302:468:3,0.12
Alosa,fallax,36.25,28.25,1302:468:1,0.11
Alosa,fallax,36.75,27.75,1302:467:4,0.15
Alosa,fallax,36.75,27.25,1302:467:3,0.19
Alosa,fallax,36.25,27.75,1302:467:2,0.16
Alosa,fallax,36.25,27.25,1302:467:1,0.16
Alosa,fallax,35.75,27.75,1302:457:4,0.14
Alosa,fallax,35.75,27.25,1302:457:3,0.17
Alosa,fallax,35.25,27.25,1302:457:1,0.17
Alosa,fallax,35.25,26.75,1302:456:2,0.19
Alosa,fallax,34.75,26.25,1302:246:3,0.16
Alosa,fallax,34.75,25.75,1302:245:4,0.15
Alosa,fallax,34.75,25.25,1302:245:3,0.16
Alosa,fallax,32.25,25.25,1302:225:1,0.11
Alosa,fallax,31.75,29.75,1302:219:4,0.07
Alosa,fallax,31.25,29.75,1302:219:2,0.09
Alosa,fallax,31.25,29.25,1302:219:1,0.08
Alosa,fallax,31.25,28.75,1302:218:2,0.08
Alosa,fallax,31.25,28.25,1302:218:1,0.09
Alosa,fallax,31.75,27.25,1302:217:3,0.08
Alosa,fallax,31.25,27.75,1302:217:2,0.10
Alosa,fallax,31.25,27.25,1302:217:1,0.10
Alosa,fallax,31.75,26.75,1302:216:4,0.08
Alosa,fallax,31.75,26.25,1302:216:3,0.09
Alosa,fallax,31.25,26.75,1302:216:2,0.02
Alosa,fallax,31.75,25.75,1302:215:4,0.10
Alosa,fallax,31.75,25.25,1302:215:3,0.10
Alosa,fallax,30.75,29.25,1302:209:3,0.06
Alosa,fallax,30.75,28.75,1302:208:4,0.07
